eightd_has_key_dispenser,eightd_station_services,lat,short_name,has_kiosk,capacity,lon,electric_bike_surcharge_waiver,station_type,name,externalId,stationId,legacyId
false,,41.7664929373,KA1503000045,true,11,-87.5864608775,false,classic,Stony Island Ave & 71st St,a3ac4a7c-a135-11e9-9cda-0a87ae2ba916,a3ac4a7c-a135-11e9-9cda-0a87ae2ba916,356
false,,41.794853,TA1307000160,true,11,-87.618691,false,classic,Prairie Ave & Garfield Blvd,a3a7b936-a135-11e9-9cda-0a87ae2ba916,a3a7b936-a135-11e9-9cda-0a87ae2ba916,204
false,,41.743359762253235,587,true,11,-87.62284398078917,false,classic,Wabash Ave & 83rd St,a3b2b419-a135-11e9-9cda-0a87ae2ba916,a3b2b419-a135-11e9-9cda-0a87ae2ba916,587
false,,41.71274876109496,20223,true,11,-87.53481388092041,false,classic,Ewing Ave & Burnham Greenway,98fe78dc-4efa-4b39-a47c-0d94abcdb221,98fe78dc-4efa-4b39-a47c-0d94abcdb221,718
false,,41.894887,16921,true,7,-87.774704,false,classic,Austin Blvd & Chicago Ave,a3b0f5c9-a135-11e9-9cda-0a87ae2ba916,a3b0f5c9-a135-11e9-9cda-0a87ae2ba916,524
false,,41.875806,543,true,11,-87.755285,false,classic,Laramie Ave & Gladys Ave,a3b1cf80-a135-11e9-9cda-0a87ae2ba916,a3b1cf80-a135-11e9-9cda-0a87ae2ba916,543
false,,41.868563,644,true,11,-87.686234,false,classic,Western Ave & Fillmore St,a3b43eb7-a135-11e9-9cda-0a87ae2ba916,a3b43eb7-a135-11e9-9cda-0a87ae2ba916,644
false,,41.946264,KA1504000141,true,11,-87.731023,false,classic,Pulaski Rd & Eddy St (Temp),a3afc858-a135-11e9-9cda-0a87ae2ba916,a3afc858-a135-11e9-9cda-0a87ae2ba916,488
false,,41.841707,13213,true,11,-87.626938,false,classic,State St & 29th St,a3a781a6-a135-11e9-9cda-0a87ae2ba916,a3a781a6-a135-11e9-9cda-0a87ae2ba916,193
false,,41.758768,KA1503000024,true,11,-87.56644,false,classic,Yates Blvd & 75th St,a3acfa38-a135-11e9-9cda-0a87ae2ba916,a3acfa38-a135-11e9-9cda-0a87ae2ba916,396
false,,41.914166,18017,true,11,-87.716755,false,classic,Central Park Ave & Bloomingdale Ave,a3b42f5f-a135-11e9-9cda-0a87ae2ba916,a3b42f5f-a135-11e9-9cda-0a87ae2ba916,641
false,,41.85353363213,15686,true,11,-87.7050730318,false,classic,Kedzie Ave & 21st St,a3add365-a135-11e9-9cda-0a87ae2ba916,a3add365-a135-11e9-9cda-0a87ae2ba916,439
false,,41.838198,TA1309000055,true,11,-87.645143,false,classic,Emerald Ave & 31st St,a3aaf7bc-a135-11e9-9cda-0a87ae2ba916,a3aaf7bc-a135-11e9-9cda-0a87ae2ba916,339
false,,41.961041,15621,true,11,-87.705866,false,classic,Albany Ave & Montrose Ave,a3af9f99-a135-11e9-9cda-0a87ae2ba916,a3af9f99-a135-11e9-9cda-0a87ae2ba916,480
false,,41.99023602867,KA1504000130,true,11,-87.6933696402,false,classic,Maplewood Ave & Peterson Ave,a3af1cec-a135-11e9-9cda-0a87ae2ba916,a3af1cec-a135-11e9-9cda-0a87ae2ba916,455
false,,41.88085,534,true,11,-87.727907,false,classic,Karlov Ave & Madison St,a3b128de-a135-11e9-9cda-0a87ae2ba916,a3b128de-a135-11e9-9cda-0a87ae2ba916,534
false,,41.79292964599,KA1503000011,true,11,-87.6449900565,false,classic,Halsted St & 56th St,a3acd078-a135-11e9-9cda-0a87ae2ba916,a3acd078-a135-11e9-9cda-0a87ae2ba916,386
false,,41.747363,665,true,7,-87.580046,false,classic,South Chicago Ave & Elliot Ave,a3b4aa91-a135-11e9-9cda-0a87ae2ba916,a3b4aa91-a135-11e9-9cda-0a87ae2ba916,665
false,,41.809851,TA1308000007,true,11,-87.616279,false,classic,MLK Jr Dr & 47th St,a3a7a4fc-a135-11e9-9cda-0a87ae2ba916,a3a7a4fc-a135-11e9-9cda-0a87ae2ba916,200
